series,mass,rows,base_error,rc_error,forecast_error,merged_error,top_error,stack_error
FOODS_1_001,662.0,1140,665.007424988448,665.3207312427583,664.4225373031373,665.3207312427583,665.546480239706,661.9017306121316
FOODS_1_002,435.0,1140,428.16847046217123,428.0980221834187,427.81020285288855,428.0980221834187,428.6385573505531,429.2484156506373
FOODS_1_003,623.0,1140,572.2869593336642,571.6071495834215,571.0592821353525,571.6071495834215,571.9750645734775,571.948201368304
FOODS_1_004,2620.0,1140,1878.6918294622708,1875.096621226171,1874.6354165416956,1875.096621226171,1872.5598953013491,1832.2280628648173
FOODS_1_008,254.0,1140,254.4002650992528,254.37727156381015,254.14843571879558,254.37727156381015,254.39707683328803,254.00309138464064
FOODS_1_009,281.0,1140,289.69305264965556,288.260902497994,287.2882163779808,288.260902497994,290.3403671327006,286.1496746033824
FOODS_1_011,1084.0,1140,978.5738494989942,978.9882862659247,977.853093837225,978.9882862659247,979.0586652482975,978.4714629224811
FOODS_1_015,813.0,1140,766.7938567723394,764.8722511531302,766.6915664249115,764.8722511531302,765.7100019951515,760.9163500263196
FOODS_1_016,737.0,1140,713.8648189641245,712.1265740364039,712.7534524525972,712.1265740364039,713.0929319142315,709.995314221726
FOODS_1_017,912.0,1140,854.8393892448637,855.0772779955867,853.3095717802585,855.0772779955867,856.66706369914,854.3953876516904
FOODS_1_018,11344.0,1140,5162.963483262079,5131.9253265459265,5153.374874332449,5131.9253265459265,5113.275397541941,5041.154473351948
FOODS_1_021,1452.0,1140,1293.8495385367419,1293.6679625230822,1290.4104805746579,1293.6679625230822,1298.082704657275,1287.298976038089
FOODS_1_022,247.0,1140,247.63857361086195,247.7150171747802,247.3658973427585,247.7150171747802,247.7273169640032,247.2750336658729
FOODS_1_023,2702.0,1140,1801.321772597364,1825.8683204623198,1800.2003965654471,1825.8683204623198,1829.8689297420633,1823.736166725068
FOODS_1_024,1138.0,1140,965.2393626068956,968.5826694801658,964.4844999075776,968.5826694801658,971.6102382786627,958.9400934094821
FOODS_1_026,184.0,1140,197.27403301476147,197.1416280792876,196.14763616804044,197.1416280792876,197.8995137994089,196.66948737956048
FOODS_1_027,2616.0,1140,1804.012427829873,1797.467847689396,1801.599333516966,1797.467847689396,1797.9380983566439,1804.746827828545
FOODS_1_028,1337.0,1140,1023.9759166153763,1022.5252532351,1021.2877629000213,1022.5540889963371,1021.462101072057,1014.3658610893851
FOODS_1_029,323.0,1140,326.4473861838826,326.4299246092178,326.01966918636344,326.4299246092178,326.5642925003873,325.4139503356063
FOODS_1_031,1494.0,1140,1249.8573883267202,1250.68374009613,1249.020163698127,1250.68374009613,1252.503712128156,1251.9465478884867
FOODS_1_033,264.0,1140,258.38982281482987,257.75215568461067,257.60051305539156,257.75215568461067,258.2147181169936,256.7466210585402
FOODS_1_034,751.0,1140,695.7167993564708,697.512813393728,694.4845594380101,697.512813393728,698.9892999318661,695.186698267986
FOODS_1_035,1173.0,1140,1045.0835533392678,1043.423838906937,1044.7647392589806,1043.423838906937,1043.3401919614137,1036.6775165435781
FOODS_1_038,591.0,1140,572.0729204967115,571.8776723068418,570.3726764636842,571.8776723068418,572.7391523455777,559.0442077437837
FOODS_1_040,1520.0,1140,1264.8771870405908,1261.2203309798124,1263.6765775218857,1261.2203309798124,1262.9146593024411,1252.1975413126693
FOODS_1_041,995.0,1140,894.3783959800519,893.3459446648706,891.6777001169066,893.3459446648706,895.3529207340039,889.9450165756485
FOODS_1_042,3990.0,1140,3151.433664491902,3137.500635991705,3151.3882118929523,3137.500635991705,3133.76768436966,3138.928216693086
FOODS_1_043,2943.0,1140,2054.397485184984,2023.6952924676812,2050.595409495153,2023.6952924676812,2031.4965181507769,1947.8531489463412
FOODS_1_044,1189.0,1140,828.0230022998785,825.0346898688633,826.8771068507824,825.0346898688633,827.7465810202011,828.8836901702527
FOODS_1_046,6431.0,1140,3419.7647494568528,3415.499172943837,3419.549977839162,3415.499172943837,3418.788676848288,3412.9693840203136
FOODS_1_047,1199.0,1140,1064.9017254800451,1064.416988145867,1062.8095621953316,1064.416988145867,1065.1723675641013,1057.2068857849665
FOODS_1_050,528.0,1140,515.9463293896504,515.1196259883595,515.6667321385255,515.1196259883595,515.6279015632238,513.0173265495662
FOODS_1_051,1429.0,1140,1236.2765164215793,1237.3168253098902,1232.1852071148014,1237.3168253098902,1238.660737238402,1238.66296790132
FOODS_1_054,1222.0,1140,1117.4623151206374,1118.3557097111227,1115.8327048275212,1118.3557097111227,1119.4033113717687,1114.6448730235097
FOODS_1_055,3302.0,1140,2599.5027770897905,2584.529244482571,2596.183949511863,2584.529244482571,2582.9475090441897,2519.6064267427564
FOODS_1_056,176.0,1140,182.62347231816733,182.68323859310266,182.05202310639217,182.68323859310266,183.0048299127738,179.50572504221873
FOODS_1_057,227.0,1140,233.31547426191048,233.19544866378664,233.23883169902427,233.19544866378664,233.79385012083299,231.41985197586106
FOODS_1_058,1329.0,1140,1144.480190176515,1141.7280218210708,1145.4153254996043,1141.7280218210708,1143.883846368623,1105.0247616813008
FOODS_1_059,1512.0,1140,1249.625341118516,1251.9322775803375,1250.344303572117,1251.9322775803375,1252.9201894567764,1246.0090039615272
FOODS_1_060,591.0,1140,571.0126113581937,571.7430239008661,569.7622206031962,571.7430239008661,572.0326697951375,570.3245928121081
FOODS_1_063,977.0,1140,834.768594011127,834.0532704944059,835.4105380035346,834.0532704944059,833.0831825664516,842.2196481619162
FOODS_1_064,586.0,1140,566.1339911145681,565.1257132355129,564.1965852499447,565.1257132355129,566.8295856125249,563.9826520482129
FOODS_1_065,1054.0,1140,973.0690112932684,971.7966056173398,970.9406589250758,971.7966056173398,975.6121948125477,970.001030199577
FOODS_1_067,2802.0,1140,2294.079341351755,2294.7693371287623,2289.328506999732,2294.7693371287623,2301.1798511898855,2278.4329404771674
FOODS_1_069,1731.0,1140,1544.4460468790583,1543.851379661225,1543.5412749562627,1543.851379661225,1541.499138132585,1545.9911314501182
FOODS_1_071,1298.0,1140,1184.8209393762775,1183.2388152868434,1183.462575041903,1183.2388152868434,1188.1424903602128,1173.6272727378998
FOODS_1_073,713.0,1140,682.3231665087678,682.698585264134,679.6592472264397,682.698585264134,683.9163912541808,681.3501151907783
FOODS_1_074,1212.0,1140,975.4337651688605,978.7917286789609,972.0549106064905,978.7917286789609,981.8054387093438,969.8191990423967
FOODS_1_075,472.0,1140,475.4948821081605,474.94003329471207,474.6463475581802,474.94003329471207,475.7483803125292,474.1587754012085
FOODS_1_076,1061.0,1140,916.1055709632587,914.9329808426277,912.8053005065146,914.9329808426277,917.4986582989127,907.6755024749075
FOODS_1_077,228.0,1140,228.75647812918612,228.7892623877538,228.66709038048342,228.7892623877538,228.81221177334675,228.83755363067462
FOODS_1_080,704.0,1140,698.093101833237,697.1604490954509,696.6722183952508,697.1604490954509,698.5845036704421,691.9962304872784
FOODS_1_082,6581.0,1140,3693.524754920021,3680.257216231362,3695.644195220157,3680.257216231362,3691.773145078344,3617.016199644148
FOODS_1_084,409.0,1140,421.97521300645883,421.38020167889954,421.56831675651654,421.38020167889954,421.97567708856957,419.58472508467116
FOODS_1_085,9922.0,1140,4674.525590714522,4642.449053123797,4675.593331559927,4642.449053123797,4657.483122539709,4632.5762975913585
FOODS_1_088,1733.0,1140,1388.0735959863787,1379.5245805404847,1382.1322469633328,1379.5245805404847,1385.0261203123177,1376.933733449378
FOODS_1_089,604.0,1140,615.5356545188577,615.3707357186315,615.2569531076209,615.3707357186315,615.8690042908079,613.5239992889351
FOODS_1_091,290.0,1140,301.7664575757717,300.2745171902237,299.7786575146426,300.2745171902237,302.4500433331598,299.2295573365591
FOODS_1_092,1451.0,1140,1216.24686856372,1218.4446029758415,1212.3650815578849,1218.4446029758415,1220.7107492850466,1204.8384838312886
FOODS_1_093,507.0,1140,504.9213851040532,504.5941883415894,504.0379563051406,504.5941883415894,505.6376666670564,504.8298791663311
FOODS_1_095,453.0,1140,370.03340893310923,372.44817132528857,370.8165238746873,372.44817132528857,372.0886668858578,373.49726981411254
FOODS_1_096,15004.0,1140,5991.013319486276,6199.348294751579,5969.755666981893,6199.348294751579,6062.420903266112,5951.48486005587
FOODS_1_098,1114.0,1140,894.7828430645816,897.5700360913813,892.7427983275065,897.5700360913813,897.1798397541655,889.0436314435474
FOODS_1_099,7712.0,1140,3785.3004330992194,3776.6693245284305,3790.1991813692307,3776.6693245284305,3799.870434921142,3736.164208024719
FOODS_1_101,819.0,1140,792.2575429574899,793.4945395074507,789.9902074022492,793.4945395074507,797.3004108641649,784.9542458280021
FOODS_1_102,766.0,1140,715.5097368552861,715.200854854822,714.0869202527197,715.200854854822,716.4348760150084,714.2301668551893
FOODS_1_103,1052.0,1140,1025.9928284614014,1024.083319609509,1022.3464819540233,1024.083319609509,1027.6271954117087,1023.1671221790822
