population,category,bin,multiplier,relative_to_base_multiplier,rows,row_share,demand_mass,demand_share,mean_risk,strict_row_share,raw_wape,raw_mae,raw_rmse,raw_bias,raw_rows,raw_demand_mass,raw_absolute_error_mass,raw_squared_error_mass,raw_prediction_mass,base_wape,base_mae,base_rmse,base_bias,base_rows,base_demand_mass,base_absolute_error_mass,base_squared_error_mass,base_prediction_mass,rc_wape,rc_mae,rc_rmse,rc_bias,rc_rows,rc_demand_mass,rc_absolute_error_mass,rc_squared_error_mass,rc_prediction_mass,floor_0_5_wape,floor_0_5_mae,floor_0_5_rmse,floor_0_5_bias,floor_0_5_rows,floor_0_5_demand_mass,floor_0_5_absolute_error_mass,floor_0_5_squared_error_mass,floor_0_5_prediction_mass,calibrated_wape,delta_absolute_error_mass,pooled_wape_delta_contribution
point_validation,FOODS,1,1.0130045699531666e-06,9.619794313407579e-07,140900,0.06584327524732117,4875.0,0.001962159107557714,0.010760391131043434,0.00709013484740951,1.0001074242469592,0.03460272315971558,0.4510720448899084,-0.9998629224972847,140900,4875.0,4875.523693203926,28668.357946075936,0.6682528257369995,1.0001131222243929,0.034602920304073206,0.4510718124515485,-0.9998556516572348,140900,4875.0,4875.551470843915,28668.328400354985,0.7036981709808585,1.0000000001088212,0.03459900639127398,0.4510770959400106,-0.9999999998611399,140900,4875.0,4875.000000530504,28668.999999267802,6.769431663556975e-07,1.0000537121234796,0.03460086477361223,0.4510744116207012,-0.9999314612486424,140900,4875.0,4875.261846601963,28668.65878699172,0.33412641286849976,1.0000000001088212,-0.5514703134113006,-2.2196358933491082e-07
point_validation,FOODS,2,0.7586171919278362,0.7204055702629272,76995,0.03598014888337469,15471.0,0.006226987395492387,0.06693723052740097,0.024092473537242677,0.9728745311627707,0.19548466616818266,1.233712056925352,-0.5710630994385226,76995,15471.0,15051.341871619225,117189.88860683265,6636.08251953125,0.9804402817673942,0.1970048912166161,1.2403600164578408,-0.5483115061153453,76995,15471.0,15168.391599223356,118456.26625804958,6988.072688889494,0.9552650842714913,0.1919463097443242,1.2571837788841207,-0.6746010929818225,76995,15471.0,14778.906118764242,121691.4485942111,5034.246490478224,0.9552650842714913,0.1919463097443242,1.2571837788841207,-0.6746010929818225,76995,15471.0,14778.906118764242,121691.4485942111,5034.246490478224,0.9552650842714913,-389.4854804591141,-0.000156765637486019
point_validation,FOODS,3,0.9726702445328994,0.9236767498108062,85050,0.0397442907010977,54985.0,0.022131142262371464,0.15543997287750244,0.05680188124632569,0.730641814638422,0.4723614365419593,1.879491199470715,-0.431741015380151,85050,54985.0,40174.34017789364,300438.0337139131,31245.71875,0.7347296134495287,0.4750042068844484,1.8756251698844608,-0.4015995253302421,85050,54985.0,40399.10779552234,299203.3296107448,32903.05009971664,0.729405897469635,0.471562413549299,1.885225395266932,-0.4472713944717944,85050,54985.0,40106.38327236788,302274.0609710936,30391.782374968385,0.729405897469635,0.471562413549299,1.885225395266932,-0.4472713944717944,85050,54985.0,40106.38327236788,302274.0609710936,30391.782374968385,0.729405897469635,-292.72452315445844,-0.00011781991571548912
point_validation,FOODS,4,1.0131224170815856,0.9620913424978682,113897,0.05322463818909964,132781.0,0.05344357917140939,0.228701651096344,0.09570050133014917,0.6986363177880154,0.8144694672573506,2.2469590289726926,-0.3029108335513942,113897,132781.0,92765.62891221046,575046.0071161155,92560.203125,0.6999291327229312,0.8159766295168752,2.222713749965924,-0.2659359563508762,113897,132781.0,92937.29017208354,562703.1642181126,97469.7577797743,0.6987106092017626,0.8145560761075291,2.240180729225273,-0.2937633387662007,113897,132781.0,92775.49340041925,571581.8095544615,93774.8101152851,0.6987106092017626,0.8145560761075291,2.240180729225273,-0.2937633387662007,113897,132781.0,92775.49340041925,571581.8095544615,93774.8101152851,0.6987106092017626,-161.79677166428883,-6.5122258275799e-05
point_validation,FOODS,5,1.005911110138697,0.955243269786346,136237,0.06366423200758903,186593.0,0.07510259576543928,0.28990864753723145,0.129384822038066,0.7192119925769083,0.9850475519198386,2.000347055981237,-0.2828429367002125,136237,186593.0,134199.92333090305,545137.1438723174,133816.484375,0.7212905684376928,0.9878944122117663,1.9977362206851847,-0.2448036217527627,136237,186593.0,134587.7710364944,543715.0561632662,140914.35780628675,0.7192817569346075,0.9851431026204278,1.9996327743978235,-0.2786037423123029,136237,186593.0,134212.94087169922,544747.8995147371,134607.49191072045,0.7192817569346075,0.9851431026204278,1.9996327743978235,-0.2786037423123029,136237,186593.0,134212.94087169922,544747.8995147371,134607.49191072045,0.7192817569346075,-374.83016479518847,-0.00015086695828517697
point_validation,FOODS,6,1.001920427219054,0.9514535979531016,149641,0.06992798829868267,233357.0,0.09392483340766059,0.34572499990463257,0.16162014421181362,0.718897257761032,1.1210811701294507,2.192224025245835,-0.30235879638047025,149641,233357.0,167759.70737934113,719151.6277522632,162799.453125,0.721546823413952,1.12521302364599,2.1945810051135473,-0.26535463812440374,149641,233357.0,168378.0020714096,720698.8575028842,171434.6377112035,0.7189312738783268,1.1211342164141158,2.1921616569201197,-0.30101902722390567,149641,233357.0,167767.6452784247,719110.7089005194,163112.10286411102,0.7189312738783268,1.1211342164141158,2.1921616569201197,-0.30101902722390567,149641,233357.0,167767.6452784247,719110.7089005194,163112.10286411102,0.7189312738783268,-610.3567929849087,-0.00024566505440308853
point_validation,FOODS,7,1.005010155733978,0.9543876965425296,160331,0.07492347880538149,313974.0,0.1263727063869386,0.4096560478210449,0.20812568997885625,0.6924800296636272,1.3560741518084942,2.5738241782531794,-0.2941505429731614,160331,313974.0,217420.72483360767,1062124.0770577902,221618.375,0.6942402085222212,1.3595210859444267,2.566285085828834,-0.2567110040278322,160331,313974.0,217973.3752305559,1055910.9688155192,233373.41922136542,0.6925391793458117,1.3561899838204832,2.57270596101308,-0.29061412726871316,160331,313974.0,217439.29629592187,1061201.381976524,222728.72000493304,0.6925391793458117,1.3561899838204832,2.57270596101308,-0.29061412726871316,160331,313974.0,217439.29629592187,1061201.381976524,222728.72000493304,0.6925391793458117,-534.0789346340171,-0.00021496366066602203
point_validation,FOODS,8,1.1324634803623839,1.0754211848259945,172399,0.0805629156093891,747954.0,0.3010471288480456,0.535435140132904,0.35537329102837023,0.5950881321777713,2.5817931009744415,5.758116965572869,-0.32133631762840187,172399,747954.0,445098.54881489277,5716045.898630211,507609.1875,0.5894538502901082,2.557348738333097,5.6749748611963335,-0.2853387616141796,172399,747954.0,440884.3651398876,5552168.354666589,534533.7318956279,0.5852965106925673,2.5393120978575774,5.577062599451623,-0.23143816426590857,172399,747954.0,437774.86635854846,5362234.232238803,574848.8992846566,0.5852965106925673,2.5393120978575774,5.577062599451623,-0.23143816426590857,172399,747954.0,437774.86635854846,5362234.232238803,574848.8992846566,0.5852965106925673,-3109.498781339149,-0.0012515551494859944
point_validation,HOBBIES,1,1.037610916933936,1.0,39850,0.018622104461360884,534.0,0.00021493188993555262,0.010408233851194382,0.002233375156838143,1.0,0.013400250941028858,0.16749688661688256,-1.0,39850,534.0,534.0,1118.0,0.0,1.0,0.013400250941028858,0.16749688661688256,-1.0,39850,534.0,534.0,1118.0,0.0,1.0,0.013400250941028858,0.16749688661688256,-1.0,39850,534.0,534.0,1118.0,0.0,1.0,0.013400250941028858,0.16749688661688256,-1.0,39850,534.0,534.0,1118.0,0.0,1.0,0.0,0.0
point_validation,HOBBIES,2,1.0092729486613184e-06,9.726892153791575e-07,81048,0.037874136069871445,9129.0,0.0036743693318757676,0.07726381719112396,0.015287237192774653,1.0183359613057126,0.11470226274257045,0.4787705670251917,-0.9702379572024572,81048,9129.0,9296.38899075985,18577.92434410029,271.69769287109375,1.019033833499928,0.11478086894211877,0.47886355100376693,-0.9691185794830144,81048,9129.0,9302.759866020842,18585.14123329796,281.9164878995604,1.0000000184463267,0.1126369579557363,0.4788359622353617,-0.9999999699619753,81048,9129.0,9129.000168396517,18582.999803298077,0.0002742171274174712,1.0091384231998517,0.11366628004875438,0.4781914404402024,-0.9851189786012285,81048,9129.0,9212.424665391445,18533.00736911042,135.8488443493843,1.0000000184463267,-173.75969762432578,-6.993726630154774e-05
