series,mass,noq_error
FOODS_1_001,662.0,660.0825000797585
FOODS_1_002,435.0,425.2280721149247
FOODS_1_003,623.0,568.7941549993985
FOODS_1_004,2620.0,1840.8987416816374
FOODS_1_008,254.0,254.05344949253447
FOODS_1_009,281.0,283.78048469274677
FOODS_1_011,1084.0,980.252236005063
FOODS_1_015,813.0,759.1885898638114
FOODS_1_016,737.0,713.2010713309115
FOODS_1_017,912.0,850.1405241822644
FOODS_1_018,11344.0,5121.311006567242
FOODS_1_021,1452.0,1288.3604250782669
FOODS_1_022,247.0,247.03028597188245
FOODS_1_023,2702.0,1811.4430911892432
FOODS_1_024,1138.0,963.4016221187115
FOODS_1_026,184.0,194.08351919663
FOODS_1_027,2616.0,1809.1458112228079
FOODS_1_028,1337.0,1014.6727825209568
FOODS_1_029,323.0,324.5239303122752
FOODS_1_031,1494.0,1241.8122582344558
FOODS_1_033,264.0,258.52645013639517
FOODS_1_034,751.0,697.2109014814334
FOODS_1_035,1173.0,1041.7214842975056
FOODS_1_038,591.0,569.3716864598788
FOODS_1_040,1520.0,1257.9777230203067
FOODS_1_041,995.0,889.8258491290078
FOODS_1_042,3990.0,3147.758257907556
FOODS_1_043,2943.0,1981.2348739515664
FOODS_1_044,1189.0,827.7890564352256
FOODS_1_046,6431.0,3427.6757678392696
FOODS_1_047,1199.0,1066.7160640696638
FOODS_1_050,528.0,512.8428503259926
FOODS_1_051,1429.0,1249.1985733460283
FOODS_1_054,1222.0,1120.6183742548749
FOODS_1_055,3302.0,2554.2799729867784
FOODS_1_056,176.0,181.86698767661608
FOODS_1_057,227.0,229.57126324362605
FOODS_1_058,1329.0,1118.0849232601734
FOODS_1_059,1512.0,1256.0682244458262
FOODS_1_060,591.0,573.5629774649032
FOODS_1_063,977.0,834.2455782886126
FOODS_1_064,586.0,561.8990379200119
FOODS_1_065,1054.0,970.2217013901511
FOODS_1_067,2802.0,2298.216538835855
FOODS_1_069,1731.0,1540.799681498316
